CO_CODE,CTU_CODE,CTU_ID,COCTU_ID,CTU_NAME,YEAR,DATASOURCE,HOUSING_TYPE,HOUSING_TYPE_DESC,QUANTITY,COMMUNITY_DESIGNATION
003,01486,02393954,00302393954,Andover,1970,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1970,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1970,METC,SFD,Single-Family Detached,160,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1970,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1971,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1971,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1971,METC,SFD,Single-Family Detached,298,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1971,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1972,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1972,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1972,METC,SFD,Single-Family Detached,283,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1972,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1973,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1973,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1973,METC,SFD,Single-Family Detached,181,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1973,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1974,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1974,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1974,METC,SFD,Single-Family Detached,80,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1974,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1975,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1975,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1975,METC,SFD,Single-Family Detached,60,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1975,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1976,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1976,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1976,METC,SFD,Single-Family Detached,114,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1976,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1977,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1977,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1977,METC,SFD,Single-Family Detached,147,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1977,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1978,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1978,METC,MF3,Multifamily (3 units or more),8,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1978,METC,SFD,Single-Family Detached,136,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1978,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1979,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1979,METC,MF3,Multifamily (3 units or more),4,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1979,METC,SFD,Single-Family Detached,106,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1979,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1980,METC,DUP,Duplex,2,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1980,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1980,METC,SFD,Single-Family Detached,45,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1980,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1981,METC,DUP,Duplex,2,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1981,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1981,METC,SFD,Single-Family Detached,90,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1981,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1982,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1982,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1982,METC,SFD,Single-Family Detached,86,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1982,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1983,METC,DUP,Duplex,6,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1983,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1983,METC,SFD,Single-Family Detached,142,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1983,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1984,METC,DUP,Duplex,4,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1984,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1984,METC,SFD,Single-Family Detached,150,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1984,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1985,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1985,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1985,METC,SFD,Single-Family Detached,211,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1985,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1986,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1986,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1986,METC,SFD,Single-Family Detached,289,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1986,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1987,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1987,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1987,METC,SFD,Single-Family Detached,381,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1987,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1988,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1988,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1988,METC,SFD,Single-Family Detached,356,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1988,METC,TH,Townhomes (single-family attached),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1989,METC,DUP,Duplex,0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1989,METC,MF3,Multifamily (3 units or more),0,Emerging Suburban Edge
003,01486,02393954,00302393954,Andover,1989,METC,SFD,Single-Family Detached,341,Emerging Suburban Edge
