iddis,disname,schname,orgidmde,schoolID
4,MCGREGOR,MCGREGOR EL.,10004010000,0004-01-010
4,MCGREGOR,MCGREGOR SEC.,10004040000,0004-01-040
11,ANOKA-HENNEPIN,MINNESOTA RENAISSANCE SCHOOL,3.10011E+11,0011-31-031
12,CENTENNIAL,CENTENNIAL EL.,10012510000,0012-01-510
12,CENTENNIAL,RICE LAKE EL.,10012513000,0012-01-513
15,ST. FRANCIS,ST FRANCIS CHRISTIAN,3.10015E+11,0015-31-001
31,BEMIDJI,CENTRAL EL.,10031050000,0031-01-050
77,MANKATO,PRAIRIE CARE MANKATO,10077375000,0077-01-375
112,CHASKA,CLOVER RIDGE,10112511000,0112-01-511
112,CHASKA,JONATHAN MONTESSORI,3.10112E+11,0112-31-002
116,PILLAGER,PILLAGER EL.,10116010000,0116-01-010
116,PILLAGER,PILLAGER SEC.,10116040000,0116-01-040
138,NORTH BRANCH,VERITAS ACADEMY,3.10138E+11,0138-31-027
173,MOUNTAIN LAKE,ELMENDORF SCHOOL,3.10173E+11,0173-31-003
173,MOUNTAIN LAKE,NEUHOF SCHOOL,3.10173E+11,0173-31-002
181,BRAINERD,LAKE REGION CHRISTIAN,3.10181E+11,0181-31-030
191,BURNSVILLE,NICOLLET JR.,10191085000,0191-01-085
194,LAKEVILLE,HUDDLESTON EL.,10194592000,0194-01-592
194,LAKEVILLE,GLORY ACADEMY,3.10194E+11,0194-31-003
206,ALEXANDRIA,GARFIELD EL.,10206120000,0206-01-120
256,RED WING,TWIN BLUFF MID.,10256109000,0256-01-109
270,HOPKINS,ACADEMY OF WHOLE LEARNING,3.10271E+11,0270-31-816
280,RICHFIELD,RICHFIELD STEM SCHOOL,10280036000,0280-01-036
281,ROBBINSDALE,ROBBINSDALE SPANISH IMMERSION EL.,10281012000,0281-01-012
281,ROBBINSDALE,SONNESYN EL.,10281022000,0281-01-022
281,ROBBINSDALE,ZACHARY LANE EL.,10281030000,0281-01-030
281,ROBBINSDALE,STEP BY STEP MONTESSORI-PLYMOUTH,3.1028E+11,0280-31-009
281,ROBBINSDALE,ST RAPHAEL,3.10281E+11,0281-31-001
281,ROBBINSDALE,SACRED HEART,3.10281E+11,0281-31-065
281,ROBBINSDALE,KING OF GRACE LUTHERAN,3.10281E+11,0281-31-061
281,ROBBINSDALE,HOLY TRINITY LUTHERAN SCHOOL,3.10281E+11,0281-31-067
281,ROBBINSDALE,ROBBINSDALE TASC ALC,10281903000,0281-01-903
284,WAYZATA,STEP BY STEP MONTESSORI-WAYZATA,3.10284E+11,0284-31-004
284,WAYZATA,EAST MIDDLE ALTERNATIVE,10284952000,0284-01-952
287,INTERMEDIATE SCHOOL DISTRICT 287,PRAIRIE CARE EDINA - PHP,60287532000,0287-06-532
287,INTERMEDIATE SCHOOL DISTRICT 287,SAFE,60287479000,0287-06-479
287,INTERMEDIATE SCHOOL DISTRICT 287,HENNEPIN GATEWAY TO COLLEGE,60287801000,0287-06-801
397,GLACIAL RIDGE TRANSITIONAL SKILLS PROGRAM,GLACIAL RIDGE TRANSITIONAL SKILLS PROGRAM,5.20397E+11,0397-52-012
473,ISLE,ISLE ALC,10473040000,0473-01-040
473,ISLE,ISLE EL.,10473010000,0473-01-010
473,ISLE,ISLE SEC.,10473020000,0473-01-020
480,ONAMIA,KOKESH ALC,10480035000,0480-01-035
480,ONAMIA,MILLE LACS ACADEMY - NEXUS,10480030000,0480-01-030
535,ROCHESTER,SCHAEFFER ACADEMY,3.10535E+11,0535-31-170
535,ROCHESTER,ROCHESTER PENTECOSTAL,3.10535E+11,0535-31-207
550,UNDERWOOD,UNDERWOOD EL.,10550010000,0550-01-010
550,UNDERWOOD,UNDERWOOD SEC.,10550020000,0550-01-020
564,THIEF RIVER FALLS,ST BERNARD,3.10564E+11,0564-31-001
622,NORTH ST PAUL-MAPLEWOOD,CAPITAL CITY ADVENT CHRISTIAN,3.10622E+11,0622-31-050
623,ROSEVILLE,CHILDRENS DISCOVERY ACADEMY,3.10624E+11,0623-31-711
624,WHITE BEAR LAKE,OTTER LAKE EL.,10624828000,0624-01-828
625,ST. PAUL,GUADALUPE ALTERNATIVE PROGRAMS,10625841000,0625-01-841
625,ST. PAUL,CHRISTS HOUSEHOLD OF FAITH,3.10626E+11,0625-31-957
625,ST. PAUL,CATHEDRAL HILL MONTESSORI SCHOOL,3.10626E+11,0625-31-921
625,ST. PAUL,LETOILE DU NORD LOWER,10625463000,0625-01-463
640,WABASSO,WABASSO ELEMENTARY,10640010000,0640-01-010
640,WABASSO,WABASSO SECONDARY,10640020000,0640-01-020
656,FARIBAULT,FARIBAULT AREA LEARNING CTR.,10656081000,0656-01-081
707,NETT LAKE,NETT LAKE EL.,10707001000,0707-01-001
709,DULUTH,LAURA MACARTHUR EL.,10709525000,0709-01-525
709,DULUTH,LESTER PARK EL.,10709510000,0709-01-510
709,DULUTH,ORDEAN-EAST,10709335000,0709-01-335
709,DULUTH,DENFELD HIGH SCHOOL,10709215000,0709-01-215
709,DULUTH,MYERS-WILKINS ELEMENTARY,10709540000,0709-01-540
709,DULUTH,BETHANY CRISIS SHELTER,10709615000,0709-01-615
709,DULUTH,SUPERIOR ACADEMY,10709630000,0709-01-630
