school_id,school_name,physical_city,county,grades,school_classification,schooltype
0011-31-011,Coon Rapids Christian,Coon Rapids,Anoka, KG-12,0,private
0011-31-012,Cross of Christ Lutheran,Coon Rapids,Anoka, KG-8,0,private
0011-31-013,Epiphany Catholic School,Coon Rapids,Anoka, KG-8,0,private
0011-31-014,Legacy Christian Academy,Andover,Anoka, KG-12,0,private
0011-31-016,St. Stephen,Anoka,Anoka, KG-8,0,private
0011-31-019,Anoka Adventist Christian,Anoka,Anoka, 1-8,0,private
0011-31-025,Northside Christian (Blaine Campus),Blaine,Anoka, KG-12,0,private
0011-31-031,Montessori Renaissance Academy,Anoka,Anoka, KG-8,0,private
0011-31-713,The Way of The Shepherd,Blaine,Anoka, KG-6,0,private
0011-31-717,Foundations Christian School,Anoka,Anoka, KG-12,40,private
0013-31-001,Immaculate Conception,Columbia Heights,Anoka, KG-8,0,private
0013-31-002,Little Voyageur's Montessori,Columbia Heights,Anoka, KG,0,private
0014-31-002,Totino Grace High School,Fridley,Anoka, 9-12,0,private
0014-31-004,Woodcrest Baptist Academy,Fridley,Anoka, PK-12,0,private
0014-31-006,Al-Amal School,Fridley,Anoka, EC-12,40,private
0014-31-009,Al-Israa Academy,Fridley,Anoka, KG-2,0,private
0015-31-001,St. Francis Christian,Saint Francis,Anoka, PK-12,0,private
0015-31-002,Trinity Lutheran,Saint Francis,Anoka, KG-8,0,private
0015-31-003,Crown Christian School,Saint Francis,Anoka, PK-8,0,private
0015-31-004,Immaculate Heart of Mary Academy,Cedar,Anoka, KG-12,0,private
0016-31-001,Grace Lutheran,Fridley,Anoka, KG-8,0,private
0016-31-004,Avail Academy (Blaine K-8 Campus),Blaine,Anoka, KG-8,0,private
0016-31-006,Avail Academy (Fridley 9-12 Campus),Fridley,Anoka, 9-12,0,private
0022-31-702,Holy Rosary,Detroit Lakes,Becker, KG-8,0,private
0022-31-703,Adventist Christian School,Detroit Lakes,Becker, KG-5,0,private
0022-31-705,Faith Christian School,Detroit Lakes,Becker, KG-8,0,private
0031-31-002,Heartland Christian Academy,Bemidji,Beltrami, KG-8,0,private
0031-31-003,St. Philips,Bemidji,Beltrami, KG-8,0,private
0031-31-703,St. Mark's,Bemidji,Beltrami, 1-8,0,private
0038-31-001,St. Mary's Mission,Red Lake,Beltrami, KG-6,0,private
0047-31-020,Petra Lutheran,Sauk Rapids,Benton, KG-8,0,private
0047-31-024,Montessori School of Sauk Rapids,Sauk Rapids,Benton, PK-KG,0,private
0051-31-001,St. John,Foley,Benton, KG-6,0,private
0077-31-002,Grace Christian,Mankato,Blue Earth, KG-12,0,private
0077-31-006,Immanuel Lutheran,Mankato,Blue Earth, KG-12,0,private
0077-31-007,Mount Olive Lutheran,Mankato,Blue Earth, KG-8,0,private
0077-31-009,Risen Savior Lutheran School,Mankato,Blue Earth, KG-8,0,private
0077-31-013,Concordia Classical Academy,North Mankato,Nicollet, KG-7,0,private
0077-31-017,Loyola Catholic School,Mankato,Blue Earth, KG-12,0,private
0084-31-001,St. John's Lutheran School,Sleepy Eye,Brown, KG-8,0,private
0084-31-002,St. Mary's H.S.,Sleepy Eye,Brown, 7-12,0,private
0084-31-004,St. Mary's Elementary,Sleepy Eye,Brown, KG-6,0,private
0084-31-060,Grace Lutheran School,Sleepy Eye,Brown, PK-6,10,private
0085-31-007,St. Raphael,Springfield,Brown, KG-6,0,private
0088-31-003,Minnesota Valley Lutheran,New Ulm,Nicollet, 9-12,0,private
0088-31-006,St. Paul's Lutheran,New Ulm,Brown, KG-8,0,private
0088-31-007,"New Ulm Area Catholic Schools, Inc.",New Ulm,Brown, KG-12,0,private
0094-31-003,Queen of Peace,Cloquet,Carlton,NA,0,private
0108-31-001,Emanuel Lutheran,Hamburg,Carver, KG-8,0,private
0108-31-003,St. John's Lutheran,Young America,Carver, KG-8,0,private
0108-31-004,Zion Lutheran,Cologne,Carver, KG-8,0,private
0110-31-001,St. Joseph,Waconia,Carver,NA,0,private
0110-31-003,Trinity Lutheran,Waconia,Carver,NA,0,private
0111-31-004,Christ Community,Watertown,Carver, KG-8,0,private
0111-31-006,Zion Lutheran,Mayer,Carver, KG-8,0,private
0111-31-007,Mayer Lutheran High School,Mayer,Carver, 9-12,0,private
0112-31-001,Guardian Angels School,Chaska,Carver, PK-8,0,private
0112-31-002,Jonathan Montessori,Chaska,Carver, PK-KG,0,private
0112-31-003,St. Hubert Catholic School,Chanhassen,Carver, PK-8,0,private
0112-31-004,St. John's Lutheran School,Chaska,Carver, PK-8,0,private
0112-31-020,Chapel Hill Academy,Chanhassen,Carver, KG-8,0,private
0112-31-021,Holy Family Catholic High School,Victoria,Carver, 9-12,0,private
0112-31-110,Step By Step Montessori,Chaska,Carver, PK-KG,0,private
0112-31-117,Southwest Christian High School,Chaska,Carver, 9-12,0,private
0112-31-119,Breakaway Academy,Chaska,Carver, 5-8,20,private
0113-31-100,Immanuel Lutheran School,Walker,Cass, EC-8,0,private
0118-31-200,Eagle Country Christian Academy,Remer,Cass,NA,0,private
0138-31-027,Veritas Academy,North Branch,Chisago, KG-12,40,private
0152-31-001,Park Christian,Moorhead,Clay, KG-12,0,private
0152-31-003,St. Joseph,Moorhead,Clay, KG-8,0,private
0162-31-002,FHL Academy,Bagley,Clearwater, PK-6,10,private
0173-31-001,Mountain Lake Christian,Mountain Lake,Cottonwood, PK-9+11-12,0,private
0173-31-002,Neuhof School,Mountain Lake,Cottonwood, KG-12,0,private
0173-31-003,Elmendorf School,Mountain Lake,Cottonwood, KG-12,0,private
0181-31-030,Lake Region Christian,Baxter,Crow Wing, PK-12,0,private
0181-31-031,St. Francis of Assisi,Brainerd,Crow Wing, PK-8,0,private
0181-31-032,Oak Street Christian School,Brainerd,Crow Wing, KG-5,0,private
0191-31-002,St. John The Baptist,Savage,Dakota, KG-8,0,private
0191-31-010,Cyprus Classical Academy,Burnsville,Dakota, PK-6,10,private
0191-31-011,"Sterling West, Minneapolis",Burnsville,NA, 3-12,40,private
0192-31-001,Christian Life,Farmington,Dakota, KG-12,0,private
0194-31-001,All Saints School,Lakeville,Dakota, KG-8,0,private
0194-31-002,Southview Christian,Burnsville,Dakota, KG-10,0,private
0194-31-003,Glory Academy,Lakeville,Dakota, KG-10,0,private
0194-31-004,Christian Heritage Academy,Lakeville,Dakota, KG-8,40,private
0196-31-001,Berea Lutheran,Inver Grove Heights,Dakota, KG-8,0,private
0196-31-002,First Baptist,Rosemount,Dakota, KG-12,0,private
0196-31-003,Good Shepherd Lutheran,Burnsville,Dakota, KG-8,0,private
0196-31-004,Faithful Shepherd Catholic,Eagan,Dakota, KG-8,0,private
0196-31-007,St. Joseph's Catholic,Rosemount,Dakota, KG-8,0,private
0196-31-011,Heritage Lutheran School,Apple Valley,Dakota, KG,0,private
0196-31-015,Trinity School At River Ridge,Eagan,Dakota, 6-12,0,private
0196-31-017,Woodpark Montessori,Burnsville,Dakota, PK-KG,0,private
0196-31-019,Brightmont Academy,Apple Valley,Dakota, 6-12,33,private
0197-31-002,Visitation School,Mendota Heights,Dakota,NA,0,private
0197-31-003,Crown of Life,West Saint Paul,Dakota,NA,0,private
0197-31-004,St. Croix Lutheran,West Saint Paul,Dakota,NA,0,private
0197-31-007,St. Thomas Academy,Mendota Heights,Dakota,NA,0,private
0197-31-008,Trinity Lone Oak Lutheran,Eagan,Dakota,NA,0,private
0197-31-009,St. Joseph,West Saint Paul,Dakota,NA,0,private
0197-31-011,Community of Saints Regional Catholic School,West Saint Paul,Dakota, KG-8,10,private
0200-31-001,St. Elizabeth Ann Seton,Hastings,Dakota, KG-8,0,private
0200-31-002,St. John The Baptist,Vermillion,Dakota, KG-5,0,private
0200-31-006,Pine Harbor Christian Academy,Hastings,Dakota, KG-8,0,private
0203-31-010,Haven School,Dexter,Dodge, KG-12,0,private
0206-31-082,St. Mary's,Alexandria,Douglas, KG-6,0,private
0206-31-084,Zion Lutheran,Alexandria,Douglas, KG-8,0,private
0206-31-086,New Testament Christian,Alexandria,Douglas, KG-12,0,private
