"schoolid","location"
"0001-01-002","OUT STATE"
"0001-01-003","OUT STATE"
"0001-03-103","CORE CITIES"
"0001-03-104","CORE CITIES"
"0001-03-105","CORE CITIES"
"0001-03-106","CORE CITIES"
"0001-03-107","CORE CITIES"
"0001-03-110","CORE CITIES"
"0001-03-112","CORE CITIES"
"0001-03-114","CORE CITIES"
"0001-03-118","CORE CITIES"
"0001-03-119","CORE CITIES"
"0001-03-121","CORE CITIES"
"0001-03-123","CORE CITIES"
"0001-03-124","CORE CITIES"
"0001-03-126","CORE CITIES"
"0001-03-129","CORE CITIES"
"0001-03-130","CORE CITIES"
"0001-03-131","CORE CITIES"
"0001-03-132","CORE CITIES"
"0001-03-134","CORE CITIES"
"0001-03-135","CORE CITIES"
"0001-03-136","CORE CITIES"
"0001-03-137","CORE CITIES"
"0001-03-138","CORE CITIES"
"0001-03-139","CORE CITIES"
"0001-03-140","CORE CITIES"
"0001-03-143","CORE CITIES"
"0001-03-144","CORE CITIES"
"0001-03-150","CORE CITIES"
"0001-03-151","CORE CITIES"
"0001-03-152","CORE CITIES"
"0001-03-153","CORE CITIES"
"0001-03-155","CORE CITIES"
"0001-03-156","CORE CITIES"
"0001-03-158","CORE CITIES"
"0001-03-160","CORE CITIES"
"0001-03-161","CORE CITIES"
"0001-03-162","CORE CITIES"
"0001-03-163","CORE CITIES"
"0001-03-164","CORE CITIES"
"0001-03-165","CORE CITIES"
"0001-03-166","CORE CITIES"
"0001-03-167","CORE CITIES"
"0001-03-169","CORE CITIES"
"0001-03-170","CORE CITIES"
"0001-03-175","CORE CITIES"
"0001-03-176","CORE CITIES"
"0001-03-178","CORE CITIES"
"0001-03-179","CORE CITIES"
"0001-03-180","CORE CITIES"
"0001-03-181","CORE CITIES"
"0001-03-185","CORE CITIES"
"0001-03-186","CORE CITIES"
"0001-03-190","CORE CITIES"
"0001-03-191","CORE CITIES"
"0001-03-192","CORE CITIES"
"0001-03-193","CORE CITIES"
"0001-03-194","CORE CITIES"
"0001-03-195","CORE CITIES"
"0001-03-196","CORE CITIES"
