SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
40,3,6,1,0,Alabama,Alabama,4779736,4780138,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871
50,3,6,1,1,Alabama,Autauga County,54571,54574,54754,55208,54936,54713,54876,54838,55242,55443,55601
50,3,6,1,3,Alabama,Baldwin County,182265,182264,183111,186540,190143,194886,199189,202995,207712,212619,218022
50,3,6,1,5,Alabama,Barbour County,27457,27457,27330,27350,27174,26944,26758,26294,25819,25158,24881
50,3,6,1,7,Alabama,Bibb County,22915,22920,22872,22747,22664,22516,22541,22562,22576,22555,22400
50,3,6,1,9,Alabama,Blount County,57322,57321,57373,57554,57570,57611,57521,57522,57517,57827,57840
50,3,6,1,11,Alabama,Bullock County,10914,10911,10878,10677,10607,10551,10665,10400,10381,10176,10138
50,3,6,1,13,Alabama,Butler County,20947,20943,20942,20878,20687,20374,20343,20176,20029,19898,19680
50,3,6,1,15,Alabama,Calhoun County,118572,118594,118477,117797,117257,116541,115995,115536,115018,114664,114277
50,3,6,1,17,Alabama,Chambers County,34215,34171,34122,34030,34104,34143,33980,34007,33771,33758,33615
50,3,6,1,19,Alabama,Cherokee County,25989,25989,25974,25994,25963,26025,25902,25739,25776,25815,26032
50,3,6,1,21,Alabama,Chilton County,43643,43630,43653,43687,43582,43634,43769,43717,43896,44117,44153
50,3,6,1,23,Alabama,Choctaw County,13859,13858,13849,13607,13561,13396,13317,13233,13049,12935,12841
50,3,6,1,25,Alabama,Clarke County,25833,25833,25765,25582,25154,25122,24865,24703,24349,24097,23920
50,3,6,1,27,Alabama,Clay County,13932,13930,13897,13686,13432,13404,13440,13413,13393,13367,13275
50,3,6,1,29,Alabama,Cleburne County,14972,14972,15004,14928,14889,14976,15025,14917,14853,14906,14987
50,3,6,1,31,Alabama,Coffee County,49948,49952,50205,50435,51136,50677,50655,50952,51145,51777,51909
50,3,6,1,33,Alabama,Colbert County,54428,54428,54525,54535,54572,54533,54468,54370,54367,54509,54762
50,3,6,1,35,Alabama,Conecuh County,13228,13233,13234,13192,13044,12911,12679,12680,12501,12435,12277
50,3,6,1,37,Alabama,Coosa County,11539,11758,11782,11487,11347,11256,11038,10938,10826,10757,10715
50,3,6,1,39,Alabama,Covington County,37765,37766,37812,38019,37804,37812,37756,37551,37382,37078,36986
50,3,6,1,41,Alabama,Crenshaw County,13906,13898,13874,13899,13921,13854,13859,13857,13922,13861,13824
50,3,6,1,43,Alabama,Cullman County,80406,80406,80454,80401,80273,80688,81067,81764,82456,82836,83442
50,3,6,1,45,Alabama,Dale County,50251,50249,50390,50112,50284,49772,49417,49349,49301,49254,48956
50,3,6,1,47,Alabama,Dallas County,43820,43818,43860,43256,42795,41983,41562,40948,40092,39235,38310
50,3,6,1,49,Alabama,DeKalb County,71109,71116,71159,71352,70937,70911,70999,71112,71101,71404,71385
50,3,6,1,51,Alabama,Elmore County,79303,79293,79577,80009,80216,80569,80568,80924,81263,81416,81887
50,3,6,1,53,Alabama,Escambia County,38319,38320,38344,38201,38023,37763,37738,37665,37488,36999,36748
50,3,6,1,55,Alabama,Etowah County,104430,104427,104455,104358,104273,103883,103407,103003,102849,102937,102501
50,3,6,1,57,Alabama,Fayette County,17241,17232,17227,17047,16941,16819,16768,16693,16555,16474,16433
50,3,6,1,59,Alabama,Franklin County,31704,31709,31745,31771,31689,31552,31561,31541,31654,31590,31363
50,3,6,1,61,Alabama,Geneva County,26790,26787,26782,26759,26927,26682,26597,26636,26498,26410,26314
50,3,6,1,63,Alabama,Greene County,9045,9043,8995,8905,8850,8749,8585,8509,8483,8318,8233
50,3,6,1,65,Alabama,Hale County,15760,15762,15745,15358,15360,15247,15047,15018,14835,14809,14726
50,3,6,1,67,Alabama,Henry County,17302,17300,17298,17377,17156,17132,17082,17106,17083,17140,17209
50,3,6,1,69,Alabama,Houston County,101547,101554,101790,102470,103365,103638,104156,104268,104239,104373,104722
50,3,6,1,71,Alabama,Jackson County,53227,53224,53183,53209,53077,52958,52562,52218,52048,51907,51736
50,3,6,1,73,Alabama,Jefferson County,658466,658506,658158,657973,657967,659196,659918,660370,660326,659546,659300
50,3,6,1,75,Alabama,Lamar County,14564,14564,14494,14287,14245,14210,14067,13925,13927,13902,13844
50,3,6,1,77,Alabama,Lauderdale County,92709,92709,92736,92606,92664,92706,93013,92477,92457,92591,92387
50,3,6,1,79,Alabama,Lawrence County,34339,34339,34344,34049,33807,33577,33448,33138,33233,33077,32957
50,3,6,1,81,Alabama,Lee County,140247,140300,140806,144130,148581,151831,154545,157009,159297,161641,163941
50,3,6,1,83,Alabama,Limestone County,82782,82782,83173,85542,87313,88910,90596,91571,92841,94076,96174
50,3,6,1,85,Alabama,Lowndes County,11299,11296,11289,11139,10853,10665,10498,10353,10253,10104,9974
50,3,6,1,87,Alabama,Macon County,21452,21448,21505,21281,20611,20026,19648,19306,19064,18811,18439
50,3,6,1,89,Alabama,Madison County,334811,334811,336093,339527,342713,346633,349807,352989,356821,361665,366519
50,3,6,1,91,Alabama,Marengo County,21027,21038,20946,20651,20367,20114,19980,19760,19516,19366,19066
50,3,6,1,93,Alabama,Marion County,30776,30776,30817,30651,30487,30228,30202,30123,29964,29771,29763
50,3,6,1,95,Alabama,Marshall County,93019,93019,93124,93892,94268,94370,94277,94606,95123,95609,96109
50,3,6,1,97,Alabama,Mobile County,412992,413145,413319,413242,413922,414210,414590,414935,415499,414515,413757
50,3,6,1,99,Alabama,Monroe County,23068,23067,23007,22796,22582,22171,21927,21717,21545,21302,21067
50,3,6,1,101,Alabama,Montgomery County,229363,229378,229510,229168,228861,228173,227546,227244,227072,227079,225763
50,3,6,1,103,Alabama,Morgan County,119490,119486,119604,120013,120092,119574,119458,119281,118970,118811,119089
50,3,6,1,105,Alabama,Perry County,10591,10579,10567,10455,10171,10005,9804,9638,9528,9319,9140
50,3,6,1,107,Alabama,Pickens County,19746,19746,19749,19354,19312,19305,20283,20776,20309,20182,19938
50,3,6,1,109,Alabama,Pike County,32899,32895,32963,33017,33210,33713,33197,33522,33521,33435,33338
50,3,6,1,111,Alabama,Randolph County,22913,22916,22937,22743,22534,22548,22355,22598,22508,22683,22725
50,3,6,1,113,Alabama,Russell County,52947,52947,53307,54831,57482,59133,59211,58837,58208,57028,57781
50,3,6,1,115,Alabama,St. Clair County,83593,83345,83566,83963,84748,85805,85995,86546,87323,87976,88690
50,3,6,1,117,Alabama,Shelby County,195085,195313,196095,197992,200964,204108,206356,209084,211430,213729,215707
50,3,6,1,119,Alabama,Sumter County,13763,13763,13730,13491,13441,13396,13275,13206,12974,12780,12691
50,3,6,1,121,Alabama,Talladega County,82291,82283,82100,81777,82078,81513,81450,81055,80468,80022,79828
50,3,6,1,123,Alabama,Tallapoosa County,41616,41618,41476,41397,41044,41028,40887,40611,40570,40613,40497
50,3,6,1,125,Alabama,Tuscaloosa County,194656,194668,194996,196719,198794,201084,203097,204736,206614,207709,208911
50,3,6,1,127,Alabama,Walker County,67023,67023,66997,66577,66096,65768,65336,64933,64548,63935,63711
50,3,6,1,129,Alabama,Washington County,17581,17581,17627,17354,17146,16897,16868,16828,16610,16532,16378
50,3,6,1,131,Alabama,Wilcox County,11670,11667,11564,11442,11308,11152,10953,10903,10851,10712,10627
50,3,6,1,133,Alabama,Winston County,24484,24488,24412,24358,24190,24186,24137,23929,23906,23745,23660
40,4,9,2,0,Alaska,Alaska,710231,710249,713906,722038,730399,737045,736307,737547,741504,739786,737438
50,4,9,2,13,Alaska,Aleutians East Borough,3141,3141,3166,3260,3295,3345,3348,3381,3388,3495,3515
50,4,9,2,16,Alaska,Aleutians West Census Area,5561,5561,5560,5581,5675,5777,5822,5781,5698,5726,5723
50,4,9,2,20,Alaska,Anchorage Municipality,291826,291829,293310,296154,298233,301155,299927,297613,297216,294264,291538
50,4,9,2,50,Alaska,Bethel Census Area,17013,17013,17085,17415,17654,17847,17933,17955,18019,18079,18216
50,4,9,2,60,Alaska,Bristol Bay Borough,997,997,1002,1030,980,952,949,905,903,870,877
50,4,9,2,68,Alaska,Denali Borough,1826,1822,1835,1872,1908,1942,1915,1927,2039,2066,2059
50,4,9,2,70,Alaska,Dillingham Census Area,4847,4847,4850,4948,4951,4979,4983,4987,4970,4935,5000
50,4,9,2,90,Alaska,Fairbanks North Star Borough,97581,97585,98260,98104,100305,100928,99256,99630,100683,99725,98971
50,4,9,2,100,Alaska,Haines Borough,2508,2508,2501,2573,2577,2558,2555,2516,2527,2518,2474
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2150,2109,2113,2090,2120,2121,2103,2137,2128,2139,2151
50,4,9,2,110,Alaska,Juneau City and Borough,31275,31275,31386,32152,32378,32587,32476,32601,32400,32061,32113
50,4,9,2,122,Alaska,Kenai Peninsula Borough,55400,55400,55561,56302,56906,57015,57565,58029,58452,58522,58533
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13477,13519,13566,13665,13723,13716,13801,13706,13714,13882,13918
50,4,9,2,150,Alaska,Kodiak Island Borough,13592,13606,13650,13806,14038,14089,13904,13766,13710,13519,13345
50,4,9,2,158,Alaska,Kusilvak Census Area,7459,7459,7465,7648,7791,7972,8098,8187,8174,8230,8303
50,4,9,2,164,Alaska,Lake and Peninsula Borough,1631,1635,1639,1648,1647,1665,1645,1592,1598,1607,1587
50,4,9,2,170,Alaska,Matanuska-Susitna Borough,88995,88992,89735,91716,93670,95877,98104,101068,104157,106383,107610
50,4,9,2,180,Alaska,Nome Census Area,9492,9492,9544,9775,9819,9845,9803,9885,9961,9968,10008
50,4,9,2,185,Alaska,North Slope Borough,9430,9430,9476,9550,9692,9786,9769,9795,9718,9831,9872
50,4,9,2,188,Alaska,Northwest Arctic Borough,7523,7523,7559,7705,7707,7725,7771,7771,7689,7767,7671
50,4,9,2,195,Alaska,Petersburg Borough,3815,3207,3219,3254,3278,3293,3265,3259,3270,3259,3221
50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,5559,6170,6213,6374,6421,6443,6460,6505,6516,6469,6422
50,4,9,2,220,Alaska,Sitka City and Borough,8881,8881,8881,8886,9019,8973,8839,8778,8738,8686,8647
50,4,9,2,230,Alaska,Skagway Municipality,968,968,968,962,999,1025,1053,1087,1132,1162,1148
50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,7029,7029,7061,7148,7170,6984,6922,6804,6849,6885,6918
50,4,9,2,261,Alaska,Valdez-Cordova Census Area,9636,9636,9655,9738,9730,9776,9475,9322,9318,9224,9164
50,4,9,2,275,Alaska,Wrangell City and Borough,2369,2365,2371,2395,2425,2455,2447,2459,2501,2511,2503
50,4,9,2,282,Alaska,Yakutat City and Borough,662,662,662,656,664,651,655,635,613,607,604
50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,5588,5588,5613,5631,5624,5564,5464,5466,5423,5396,5327
40,4,8,4,0,Arizona,Arizona,6392017,6392288,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646
50,4,8,4,1,Arizona,Apache County,71518,71517,71832,72186,72238,72341,71820,71022,71403,71545,71818
50,4,8,4,3,Arizona,Cochise County,131346,131357,131822,133111,132026,129608,127352,126502,125782,124990,126770
50,4,8,4,5,Arizona,Coconino County,134421,134431,134618,134269,136152,136713,137583,139024,140515,141107,142854
50,4,8,4,7,Arizona,Gila County,53597,53594,53571,53444,53003,53022,53070,53006,53404,53629,53889
50,4,8,4,9,Arizona,Graham County,37220,37219,37159,37134,37024,37454,38124,37873,37823,37501,38072
50,4,8,4,11,Arizona,Greenlee County,8437,8437,8332,8577,8756,8908,9341,9575,9651,9468,9483
50,4,8,4,12,Arizona,La Paz County,20489,20489,20497,20608,20530,20532,20529,20483,20661,20735,21098
50,4,8,4,13,Arizona,Maricopa County,3817117,3817359,3825191,3875065,3948225,4019019,4095508,4175049,4258603,4329580,4410824
50,4,8,4,15,Arizona,Mohave County,200186,200182,200315,202801,203356,203158,203474,204661,205521,207114,209550
