Geography,PopEstimate2016
AITKIN,15583
ANOKA,345957
BECKER,33734
BELTRAMI,46106
BENTON,39992
BIG STONE,5050
BLUE EARTH,66441
BROWN,25331
CARLTON,35738
CARVER,100262
CASS,28993
CHIPPEWA,12133
CHISAGO,54748
CLAY,62875
CLEARWATER,8827
COOK,5286
COTTONWOOD,11470
CROW WING,63940
DAKOTA,417486
DODGE,20506
DOUGLAS,37456
FARIBAULT,13935
FILLMORE,21003
FREEBORN,30446
GOODHUE,46676
GRANT,5956
HENNEPIN,1232483
HOUSTON,18814
HUBBARD,20718
ISANTI,39025
ITASCA,45242
JACKSON,9944
KANABEC,15830
KANDIYOHI,42495
KITTSON,4333
KOOCHICHING,12628
LAC QUI PARLE,6715
LAKE,10625
LAKE OF THE WOODS,3814
LE SUEUR,27591
LINCOLN,5783
LYON,25699
MAHNOMEN,5465
MARSHALL,9324
MARTIN,19829
MCLEOD,35842
MEEKER,23110
MILLE LACS,25866
MORRISON,32821
MOWER,39163
MURRAY,8329
NICOLLET,33575
NOBLES,21848
NORMAN,6579
OLMSTED,153102
OTTER TAIL,58085
PENNINGTON,14235
PINE,28874
PIPESTONE,9202
POLK,31660
POPE,11049
RAMSEY,540649
RED LAKE,4007
REDWOOD,15263
RENVILLE,14660
RICE,65622
ROCK,9564
ROSEAU,15626
SAINT LOUIS,199980
SCOTT,143680
SHERBURNE,93528
SIBLEY,14827
STEARNS,155652
STEELE,36805
STEVENS,9693
SWIFT,9419
TODD,24233
TRAVERSE,3356
WABASHA,21273
WADENA,13761
WASECA,18911
WASHINGTON,253117
WATONWAN,10908
WILKIN,6358
WINONA,50948
WRIGHT,132550
YELLOW MEDICINE,9935
